订单号,下单时间,渠道,菜品名称,数量,实收金额
QZ-20260601-01,2026-06-01 11:03:00,堂食,招牌牛肉面,2,64
QZ-20260601-02,2026-06-01 12:10:00,堂食,红烧肥肠面,1,36
QZ-20260601-03,2026-06-01 13:17:00,美团外卖,番茄鸡蛋面,1,24
QZ-20260601-04,2026-06-01 10:24:00,饿了么,酸辣粉,1,16.4
QZ-20260601-05,2026-06-01 11:31:00,堂食,招牌拌面,1,28
QZ-20260601-06,2026-06-01 12:38:00,堂食,小酥肉,1,26
QZ-20260601-07,2026-06-01 20:45:00,堂食,卤蛋,1,3
QZ-20260601-08,2026-06-01 17:52:00,美团外卖,冰豆浆,1,4.92
QZ-20260601-09,2026-06-01 18:59:00,饿了么,柠檬茶,1,10
QZ-20260601-10,2026-06-01 21:06:00,堂食,双人套餐,1,68
QZ-20260601-11,2026-06-01 13:13:00,堂食,招牌牛肉面,1,32
QZ-20260601-12,2026-06-01 10:20:00,堂食,红烧肥肠面,2,72
QZ-20260601-13,2026-06-01 11:27:00,美团外卖,番茄鸡蛋面,1,19.68
QZ-20260601-14,2026-06-01 12:34:00,饿了么,酸辣粉,1,16.4
QZ-20260601-15,2026-06-01 13:41:00,堂食,招牌拌面,1,28
QZ-20260601-16,2026-06-01 10:48:00,堂食,小酥肉,1,26
QZ-20260601-17,2026-06-01 18:55:00,堂食,卤蛋,1,3
QZ-20260601-18,2026-06-01 19:02:00,美团外卖,冰豆浆,1,6
QZ-20260601-19,2026-06-01 20:09:00,饿了么,柠檬茶,1,8.2
QZ-20260601-20,2026-06-01 21:16:00,堂食,双人套餐,1,68
QZ-20260601-21,2026-06-01 11:23:00,堂食,招牌牛肉面,1,32
QZ-20260601-22,2026-06-01 12:30:00,堂食,红烧肥肠面,1,36
QZ-20260601-23,2026-06-01 13:37:00,美团外卖,番茄鸡蛋面,2,39.36
QZ-20260601-24,2026-06-01 10:44:00,饿了么,酸辣粉,1,20
QZ-20260601-25,2026-06-01 11:51:00,堂食,招牌拌面,1,28
QZ-20260601-26,2026-06-01 12:58:00,堂食,小酥肉,1,23.4
QZ-20260601-27,2026-06-01 20:05:00,堂食,卤蛋,1,3
QZ-20260602-01,2026-06-02 12:06:00,堂食,招牌牛肉面,2,64
QZ-20260602-02,2026-06-02 13:13:00,美团外卖,红烧肥肠面,1,36
QZ-20260602-03,2026-06-02 10:20:00,饿了么,番茄鸡蛋面,1,19.68
QZ-20260602-04,2026-06-02 11:27:00,堂食,酸辣粉,1,20
QZ-20260602-05,2026-06-02 12:34:00,堂食,招牌拌面,1,28
QZ-20260602-06,2026-06-02 13:41:00,堂食,小酥肉,1,26
QZ-20260602-07,2026-06-02 17:48:00,美团外卖,卤蛋,1,2.46
QZ-20260602-08,2026-06-02 18:55:00,饿了么,冰豆浆,1,6
QZ-20260602-09,2026-06-02 19:02:00,堂食,柠檬茶,1,10
QZ-20260602-10,2026-06-02 21:09:00,堂食,双人套餐,1,68
QZ-20260602-11,2026-06-02 10:16:00,堂食,招牌牛肉面,1,32
QZ-20260602-12,2026-06-02 11:23:00,美团外卖,红烧肥肠面,2,59.04
QZ-20260602-13,2026-06-02 12:30:00,饿了么,番茄鸡蛋面,1,19.68
QZ-20260602-14,2026-06-02 13:37:00,堂食,酸辣粉,1,20
QZ-20260602-15,2026-06-02 10:44:00,堂食,招牌拌面,1,28
QZ-20260602-16,2026-06-02 11:51:00,堂食,小酥肉,1,26
QZ-20260602-17,2026-06-02 19:58:00,美团外卖,卤蛋,1,3
QZ-20260602-18,2026-06-02 20:05:00,饿了么,冰豆浆,1,4.92
QZ-20260602-19,2026-06-02 17:12:00,堂食,柠檬茶,1,10
QZ-20260602-20,2026-06-02 21:19:00,堂食,双人套餐,1,68
QZ-20260602-21,2026-06-02 12:26:00,堂食,招牌牛肉面,1,32
QZ-20260602-22,2026-06-02 13:33:00,美团外卖,红烧肥肠面,1,29.52
QZ-20260602-23,2026-06-02 10:40:00,饿了么,番茄鸡蛋面,2,48
QZ-20260602-24,2026-06-02 11:47:00,堂食,酸辣粉,1,20
QZ-20260602-25,2026-06-02 12:54:00,堂食,招牌拌面,1,25.2
QZ-20260602-26,2026-06-02 13:01:00,堂食,小酥肉,1,26
QZ-20260602-27,2026-06-02 17:08:00,美团外卖,卤蛋,1,2.46
QZ-20260602-28,2026-06-02 18:15:00,饿了么,冰豆浆,1,4.92
QZ-20260603-01,2026-06-03 13:09:00,美团外卖,招牌牛肉面,2,64
QZ-20260603-02,2026-06-03 10:16:00,饿了么,红烧肥肠面,1,29.52
QZ-20260603-03,2026-06-03 11:23:00,堂食,番茄鸡蛋面,1,24
QZ-20260603-04,2026-06-03 12:30:00,堂食,酸辣粉,1,20
QZ-20260603-05,2026-06-03 13:37:00,堂食,招牌拌面,1,28
QZ-20260603-06,2026-06-03 10:44:00,美团外卖,小酥肉,1,21.32
QZ-20260603-07,2026-06-03 18:51:00,饿了么,卤蛋,1,3
QZ-20260603-08,2026-06-03 19:58:00,堂食,冰豆浆,1,6
QZ-20260603-09,2026-06-03 20:05:00,堂食,柠檬茶,1,10
QZ-20260603-10,2026-06-03 21:12:00,堂食,双人套餐,1,68
QZ-20260603-11,2026-06-03 11:19:00,美团外卖,招牌牛肉面,1,26.24
QZ-20260603-12,2026-06-03 12:26:00,饿了么,红烧肥肠面,2,59.04
QZ-20260603-13,2026-06-03 13:33:00,堂食,番茄鸡蛋面,1,24
QZ-20260603-14,2026-06-03 10:40:00,堂食,酸辣粉,1,20
QZ-20260603-15,2026-06-03 11:47:00,堂食,招牌拌面,1,28
QZ-20260603-16,2026-06-03 12:54:00,美团外卖,小酥肉,1,26
QZ-20260603-17,2026-06-03 20:01:00,饿了么,卤蛋,1,2.46
QZ-20260603-18,2026-06-03 17:08:00,堂食,冰豆浆,1,6
QZ-20260603-19,2026-06-03 18:15:00,堂食,柠檬茶,1,10
QZ-20260603-20,2026-06-03 21:22:00,堂食,双人套餐,1,68
QZ-20260603-21,2026-06-03 13:29:00,美团外卖,招牌牛肉面,1,26.24
QZ-20260603-22,2026-06-03 10:36:00,饿了么,红烧肥肠面,1,36
QZ-20260603-23,2026-06-03 11:43:00,堂食,番茄鸡蛋面,2,48
QZ-20260603-24,2026-06-03 12:50:00,堂食,酸辣粉,1,18
QZ-20260603-25,2026-06-03 13:57:00,堂食,招牌拌面,1,28
QZ-20260603-26,2026-06-03 10:04:00,美团外卖,小酥肉,1,21.32
QZ-20260603-27,2026-06-03 18:11:00,饿了么,卤蛋,1,2.46
QZ-20260603-28,2026-06-03 19:18:00,堂食,冰豆浆,1,6
QZ-20260603-29,2026-06-03 20:25:00,堂食,柠檬茶,1,10
QZ-20260604-01,2026-06-04 10:12:00,饿了么,招牌牛肉面,2,52.48
QZ-20260604-02,2026-06-04 11:19:00,堂食,红烧肥肠面,1,36
QZ-20260604-03,2026-06-04 12:26:00,堂食,番茄鸡蛋面,1,24
QZ-20260604-04,2026-06-04 13:33:00,堂食,酸辣粉,1,20
QZ-20260604-05,2026-06-04 10:40:00,美团外卖,招牌拌面,1,22.96
QZ-20260604-06,2026-06-04 11:47:00,饿了么,小酥肉,1,26
QZ-20260604-07,2026-06-04 19:54:00,堂食,卤蛋,1,3
QZ-20260604-08,2026-06-04 20:01:00,堂食,冰豆浆,1,6
QZ-20260604-09,2026-06-04 17:08:00,堂食,柠檬茶,1,10
QZ-20260604-10,2026-06-04 21:15:00,美团外卖,双人套餐,1,55.76
QZ-20260604-11,2026-06-04 12:22:00,饿了么,招牌牛肉面,1,26.24
QZ-20260604-12,2026-06-04 13:29:00,堂食,红烧肥肠面,2,72
QZ-20260604-13,2026-06-04 10:36:00,堂食,番茄鸡蛋面,1,24
QZ-20260604-14,2026-06-04 11:43:00,堂食,酸辣粉,1,20
QZ-20260604-15,2026-06-04 12:50:00,美团外卖,招牌拌面,1,28
QZ-20260604-16,2026-06-04 13:57:00,饿了么,小酥肉,1,21.32
QZ-20260604-17,2026-06-04 17:04:00,堂食,卤蛋,1,3
QZ-20260604-18,2026-06-04 18:11:00,堂食,冰豆浆,1,6
QZ-20260604-19,2026-06-04 19:18:00,堂食,柠檬茶,1,10
